date,trade_code,high,low,open,close,volume
2020-08-10,1JANATAMF,4.3,4.1,4.2,4.1,2285416
2020-08-09,1JANATAMF,4.3,4.1,4.1,4.2,1292933
2020-08-06,1JANATAMF,4.2,4.1,4.1,4.1,2653824
2020-08-05,1JANATAMF,4.1,4.1,4.1,4.1,360439
2020-08-04,1JANATAMF,4.1,4.1,4.1,4.1,15217
2020-08-03,1JANATAMF,4.1,4.1,4.1,4.1,26205
2020-07-30,1JANATAMF,4.1,4.1,4.1,4.1,3737
2020-07-29,1JANATAMF,4.1,4.1,4.1,4.1,1803
2020-07-28,1JANATAMF,4.1,4.1,4.1,4.1,1
2020-07-27,1JANATAMF,4.1,4.1,4.1,4.1,775
2020-07-26,1JANATAMF,4.1,4.1,4.1,4.1,3100
2020-07-23,1JANATAMF,4.1,4.1,4.1,4.1,10053
2020-07-22,1JANATAMF,0,0,0,4.1,0
2020-07-21,1JANATAMF,4.1,4.1,4.1,4.1,13100
2020-07-20,1JANATAMF,4.1,4.1,4.1,4.1,460
2020-07-19,1JANATAMF,4.1,4.1,4.1,4.1,760
2020-07-16,1JANATAMF,4.1,4.1,4.1,4.1,500
2020-07-15,1JANATAMF,4.1,4.1,4.1,4.1,18276
2020-07-14,1JANATAMF,4.1,4.1,4.1,4.1,3330
2020-07-13,1JANATAMF,4.1,4.1,4.1,4.1,6088
2020-07-12,1JANATAMF,4.1,4.1,4.1,4.1,28600
2020-07-09,1JANATAMF,4.1,4.1,4.1,4.1,30075
2020-07-08,1JANATAMF,4.1,4.1,4.1,4.1,1255
2020-07-07,1JANATAMF,4.1,4.1,4.1,4.1,21005
2020-07-06,1JANATAMF,4.1,4.1,4.1,4.1,66485
2020-07-05,1JANATAMF,4.1,4.1,4.1,4.1,1500
2020-07-02,1JANATAMF,0,0,0,4.1,0
2020-08-10,1STPRIMFMF,16,15.1,15.4,15.2,1286049
2020-08-09,1STPRIMFMF,15.8,14.4,14.7,15.2,1949695
2020-08-06,1STPRIMFMF,15.7,14.3,14.7,14.7,1670068
2020-08-05,1STPRIMFMF,14.6,13.3,13.4,14.6,2055153
2020-08-04,1STPRIMFMF,13.5,13.2,13.4,13.3,604707
2020-08-03,1STPRIMFMF,13.7,13.2,13.5,13.3,712403
2020-07-30,1STPRIMFMF,13.7,13.2,13.2,13.4,502133
2020-07-29,1STPRIMFMF,13.8,13.1,13.8,13.2,637044
2020-07-28,1STPRIMFMF,14,13.1,13.5,13.8,608118
2020-07-27,1STPRIMFMF,13.8,13.4,13.6,13.5,711374
2020-07-26,1STPRIMFMF,14.1,13.5,14,13.8,472018
2020-07-23,1STPRIMFMF,14.8,13.7,13.9,13.9,851252
2020-07-22,1STPRIMFMF,14.3,13.7,14.2,13.9,883202
2020-07-21,1STPRIMFMF,14,12.9,12.9,13.9,1661389
2020-07-20,1STPRIMFMF,13,12.5,12.5,12.8,462401
2020-07-19,1STPRIMFMF,13.2,12.4,13.2,12.5,401452
2020-07-16,1STPRIMFMF,13.5,13.1,13.5,13.1,239767
2020-07-15,1STPRIMFMF,13.6,12.9,13,13.4,308142
2020-07-14,1STPRIMFMF,13.4,12.8,13.1,12.9,280361
2020-07-13,1STPRIMFMF,13.5,13,13.4,13.2,478960
2020-07-12,1STPRIMFMF,13.8,13.1,13.5,13.3,706891
2020-07-09,1STPRIMFMF,13.5,12.5,12.5,13.5,758711
2020-07-08,1STPRIMFMF,12.4,12,12.3,12.3,413561
2020-07-07,1STPRIMFMF,12.4,12.1,12.1,12.2,239990
2020-07-06,1STPRIMFMF,12.2,11.9,12,12,243674
2020-07-05,1STPRIMFMF,12.3,11.9,12.3,12,247495
2020-07-02,1STPRIMFMF,12.2,12,12.1,12.2,138041
2020-08-10,AAMRANET,39.5,37.9,38.6,38.8,342588
2020-08-09,AAMRANET,38.8,37.9,38.4,38.5,259858
2020-08-06,AAMRANET,38,34,37.2,37.6,156814
2020-08-05,AAMRANET,38,36.9,38,37,134013
2020-08-04,AAMRANET,39,37.4,39,37.7,275523
2020-08-03,AAMRANET,38.8,37.9,38.4,38.5,215009
2020-07-30,AAMRANET,38.6,35.7,38.5,37.6,320701
2020-07-29,AAMRANET,39.8,37.8,38.4,38.5,271038
2020-07-28,AAMRANET,38.4,36.1,36.3,38.1,304577
2020-07-27,AAMRANET,37.2,36,36.8,36.3,158528
2020-07-26,AAMRANET,37.1,35.5,36.3,36.8,196257
2020-07-23,AAMRANET,36.1,34.7,35,35.9,254832
2020-07-22,AAMRANET,35.5,34.2,34.3,35,208705
2020-07-21,AAMRANET,34.3,33.4,33.5,34.1,190123
2020-07-20,AAMRANET,34,33.2,33.2,33.4,52406
2020-07-19,AAMRANET,33.2,33.2,33.2,33.2,64921
2020-07-16,AAMRANET,33.5,33.2,33.3,33.3,54187
2020-07-15,AAMRANET,33.5,33.2,33.4,33.3,60526
2020-07-14,AAMRANET,34.9,33.2,33.9,33.4,84552
2020-07-13,AAMRANET,35.5,33.8,35,33.9,109991
2020-07-12,AAMRANET,35.5,34.6,35,35.1,21288
2020-07-09,AAMRANET,35.3,33.5,33.5,35,79126
2020-07-08,AAMRANET,35.4,33.2,33.2,33.3,126450
2020-07-07,AAMRANET,33.2,33.2,33.2,33.2,54400
2020-07-06,AAMRANET,33.2,33.2,33.2,33.2,94
2020-07-05,AAMRANET,33.2,33.2,33.2,33.2,300
2020-07-02,AAMRANET,33.2,33.2,33.2,33.2,19025
2020-08-10,AAMRATECH,26.2,25.5,26.2,25.6,72269
2020-08-09,AAMRATECH,26.4,25.4,26.2,26.2,123713
2020-08-06,AAMRATECH,26,24.9,24.9,25.8,137456
2020-08-05,AAMRATECH,25,24.5,24.8,24.9,72482
2020-08-04,AAMRATECH,25.6,24.5,25.3,24.8,87772
2020-08-03,AAMRATECH,25.6,24.7,25.5,25.3,90096
2020-07-30,AAMRATECH,25.9,24.5,25,25.4,216512
2020-07-29,AAMRATECH,25.2,24.1,24.1,25,126507
2020-07-28,AAMRATECH,24,23.5,23.7,23.9,68336
2020-07-27,AAMRATECH,23.8,23.4,23.4,23.5,33870
2020-07-26,AAMRATECH,23.9,23.2,23.5,23.4,51325
2020-07-23,AAMRATECH,23.7,23,23,23.5,28574
2020-07-22,AAMRATECH,23.6,23,23.5,23.1,33754
2020-07-21,AAMRATECH,23.1,23,23,23,26121
2020-07-20,AAMRATECH,23,23,23,23,12726
2020-07-19,AAMRATECH,23,23,23,23,6
2020-07-16,AAMRATECH,23,23,23,23,7085
2020-07-15,AAMRATECH,23,23,23,23,4665
2020-07-14,AAMRATECH,23,23,23,23,2990
2020-07-13,AAMRATECH,23.4,23,23.1,23.1,77654
2020-07-12,AAMRATECH,23.9,23,23.2,23.1,22209
2020-07-09,AAMRATECH,23.8,23,23,23.1,44283
2020-07-08,AAMRATECH,23,23,23,23,3325
2020-07-07,AAMRATECH,23,23,23,23,170
2020-07-06,AAMRATECH,23,23,23,23,10500
2020-07-05,AAMRATECH,23,23,23,23,3400
2020-07-02,AAMRATECH,23,23,23,23,2005
2020-08-10,ABB1STMF,4.4,4.2,4.4,4.2,2897616
2020-08-09,ABB1STMF,4.4,4.2,4.3,4.4,236476
2020-08-06,ABB1STMF,4.3,4.2,4.2,4.2,1230200
2020-08-05,ABB1STMF,4.2,4.2,4.2,4.2,1314565
2020-08-04,ABB1STMF,4.2,4.2,4.2,4.2,117841
2020-08-03,ABB1STMF,4.2,4.2,4.2,4.2,162938
2020-07-30,ABB1STMF,4.2,4.2,4.2,4.2,57880
2020-07-29,ABB1STMF,4.2,4.2,4.2,4.2,338611
2020-07-28,ABB1STMF,4.3,4.2,4.2,4.2,134784
2020-07-27,ABB1STMF,4.2,4.2,4.2,4.2,66160
2020-07-26,ABB1STMF,4.2,4.2,4.2,4.2,66981
2020-07-23,ABB1STMF,4.3,4.2,4.3,4.2,126210
2020-07-22,ABB1STMF,4.3,4.2,4.2,4.2,68751
2020-07-21,ABB1STMF,4.4,4.2,4.2,4.2,85813
2020-07-20,ABB1STMF,4.2,4.2,4.2,4.2,63666
2020-07-19,ABB1STMF,4.2,4.2,4.2,4.2,76340
2020-07-16,ABB1STMF,4.2,4.2,4.2,4.2,78806
2020-07-15,ABB1STMF,4.2,4.2,4.2,4.2,69309
2020-07-14,ABB1STMF,4.2,4.2,4.2,4.2,47792
2020-07-13,ABB1STMF,4.2,4.2,4.2,4.2,62183
2020-07-12,ABB1STMF,4.2,4.2,4.2,4.2,63937
2020-07-09,ABB1STMF,4.2,4.2,4.2,4.2,108139
2020-07-08,ABB1STMF,4.2,4.2,4.2,4.2,67014
2020-07-07,ABB1STMF,4.2,4.2,4.2,4.2,75648
2020-07-06,ABB1STMF,0,0,0,4.2,0
2020-07-05,ABB1STMF,4.2,4.2,4.2,4.2,55
2020-07-02,ABB1STMF,0,0,0,4.2,0
2020-08-10,ABBANK,0,0,0,8.2,0
2020-08-09,ABBANK,8.3,7.6,7.7,8.2,2317549
2020-08-06,ABBANK,7.8,7.4,7.5,7.7,987896
2020-08-05,ABBANK,7.9,7.5,7.9,7.6,1090726
2020-08-04,ABBANK,8,7.6,7.6,7.8,1043741
2020-08-03,ABBANK,8,7.2,7.3,7.6,1168318
2020-07-30,ABBANK,7.3,7,7.1,7.3,371972
2020-07-29,ABBANK,7.2,7,7.1,7.1,443726
2020-07-28,ABBANK,7.2,7,7.1,7.1,238421
2020-07-27,ABBANK,7.2,7,7,7.1,283201
2020-07-26,ABBANK,7.1,6.9,7,7,206026
2020-07-23,ABBANK,7,6.9,6.9,7,48080
2020-07-22,ABBANK,7,6.8,6.9,6.9,504247
2020-07-21,ABBANK,7.1,6.8,6.8,6.9,280801
2020-07-20,ABBANK,7,6.8,6.9,6.9,154503
2020-07-19,ABBANK,7,6.8,6.9,6.9,228753
2020-07-16,ABBANK,7,6.8,6.9,6.9,296191
2020-07-15,ABBANK,7.1,6.9,7,6.9,264428
2020-07-14,ABBANK,7.1,6.9,7.1,7,162586
2020-07-13,ABBANK,7.2,6.9,7.1,7,413990
2020-07-12,ABBANK,7.3,7.1,7.3,7.2,418337
2020-07-09,ABBANK,7.4,7.1,7.2,7.3,300516
2020-07-08,ABBANK,7.2,6.9,6.9,7.2,338246
2020-07-07,ABBANK,7.1,6.9,6.9,6.9,407874
2020-07-06,ABBANK,7,6.8,6.8,6.9,192461
2020-07-05,ABBANK,7.2,6.7,7.1,6.8,917556
2020-07-02,ABBANK,7.3,6.8,6.8,7.2,368563
2020-08-10,ACFL,23.9,22.3,23.3,23.2,574865
2020-08-09,ACFL,23.3,21.8,21.8,23.3,654671
2020-08-06,ACFL,21.2,19.2,19.5,21.2,420902
2020-08-05,ACFL,20,19.1,19.8,19.3,152174
2020-08-04,ACFL,20.4,19.7,19.8,19.9,187990
2020-08-03,ACFL,20.3,19.6,20.1,19.8,215279
2020-07-30,ACFL,20.6,19.2,19.2,20.1,348830
2020-07-29,ACFL,19.4,18.6,18.6,19.2,166950
2020-07-28,ACFL,19,18.6,18.7,18.6,56412
2020-07-27,ACFL,19,18.6,18.6,18.7,92313
2020-07-26,ACFL,19.4,18.6,19,18.6,163363
2020-07-23,ACFL,19.2,18.6,18.6,18.9,188917
2020-07-22,ACFL,18.6,18.6,18.6,18.6,3830
2020-07-21,ACFL,18.6,18.6,18.6,18.6,5540
2020-07-20,ACFL,18.6,18.6,18.6,18.6,10
2020-07-19,ACFL,0,0,0,18.6,0
2020-07-16,ACFL,18.6,18.6,18.6,18.6,5
2020-07-15,ACFL,18.6,18.6,18.6,18.6,300
2020-07-14,ACFL,18.6,18.6,18.6,18.6,1000
2020-07-13,ACFL,18.8,18.6,18.6,18.6,67512
2020-07-12,ACFL,18.9,18.6,18.6,18.6,96697
2020-07-09,ACFL,19.4,18.6,18.6,18.6,201275
2020-07-08,ACFL,18.6,18.6,18.6,18.6,100
2020-07-07,ACFL,18.6,18.6,18.6,18.6,244
2020-07-06,ACFL,18.6,18.6,18.6,18.6,1
2020-07-05,ACFL,18.6,18.6,18.6,18.6,200
